EQUIPMENT_CODE;EQUIDESCR;STATUS;VALID_FROM;VALID_TO;CATEGORY;LAST_MODIFICATIONTIMESTAMP;OBJECT_TYPE;MAIN_PLANT;LOCATION;ROOM;PLANTSECTION;ABC_INDICATOR;SORT_FIELD;FUNCT_LOC;
000000000000204283;Kreiselppe. (Magnetkupplung);I0100;Tue Feb 16 00:00:00 CET 2010;Thu Apr 29 00:00:00 CEST 2010;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C410;+00,00 M;;B;DOK-P:01\KOMB-284;APP-M-A-000-POOL;
000000000000204283;Kreiselppe. (Magnetkupplung);I0100;Thu Apr 29 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+00,00 M;;B;DOK-P:01\KOMB-284;HOE-M-A-036-P36;
000000000000204284;Kreiselppe. (Magnetkupplung);I0100;Wed Jan 13 00:00:00 CET 2010;Mon Feb 21 00:00:00 CET 2011;M;Mon Feb 21 00:00:00 CET 2011;W;0894;C509;+00,00 M;;B;DOK-P:01\;HOE-M-A-036-P24;
000000000000204284;Kreiselppe. (Magnetkupplung);I0100;Mon Feb 21 00:00:00 CET 2011;Fri Dec 31 00:00:00 CET 9999;M;Mon Feb 21 00:00:00 CET 2011;W;0894;C410;;;B;DOK-P:01\;APP-M-A-000-POOL;
000000000000204285;Kreiselppe. (Magnetkupplung);I0100;Wed Jan 13 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C566;-02,79 M;;B;DOK-P:01\;HOE-M-A-084-P21;
000000000000204286;Kreiselppe. (Magnetkupplung);I0100;Wed Jan 13 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C505;+00,00 M;;B;DOK-P:01\;HOE-M-A-084-P07;
000000000000204287;Kreiselppe. (Magnetkupplung);I0099;Wed Jan 13 00:00:00 CET 2010;Mon Jan 18 00:00:00 CET 2010;M;Mon Jan 18 00:00:00 CET 2010;W;0894;C504;+00,00 M;;B;DOK-P:01\KOMB-217E;HOE-M-A-084-P05;
000000000000204287;Kreiselppe. (Magnetkupplung);I0099;Mon Jan 18 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Mon Jan 18 00:00:00 CET 2010;W;0894;;+00,00 M;;B;DOK-P:01\KOMB-217E;;
000000000000204288;Kreiselppe. (Magnetkupplung);I0100;Wed Jan 13 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+05,00 M;;B;DOK-P:01\KOMB-282;HOE-M-A-036-P34;
000000000000204289;Kreiselppe. (Magnetkupplung);I0100;Wed Jan 13 00:00:00 CET 2010;Mon Apr 26 00:00:00 CEST 2010;M;Mon Apr 26 00:00:00 CEST 2010;W;0894;C502S;EG-NOT;;B;DOK-P:01\;HOE-M-A-005-P03;
000000000000204289;Kreiselppe. (Magnetkupplung);I0100;Mon Apr 26 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Mon Apr 26 00:00:00 CEST 2010;W;0894;C410;EG-NOT;;B;DOK-P:01\;APP-M-A-000-POOL;
000000000000204290;Kreiselppe. (Gleitring);I0100;Wed Jan 13 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C502N;+00,00 M;;B;DOK-P:01\;HOE-M-A-013-P01;
000000000000204291;Kreiselppe. (Gleitring);I0100;Wed Jan 13 00:00:00 CET 2010;Wed Oct 13 00:00:00 CEST 2010;M;Wed Oct 13 00:00:00 CEST 2010;W;0894;C433;+00,00 M;;B;DOK-P:01\;HOE-M-A-055-P19;
000000000000204291;Kreiselppe. (Gleitring);I0100;Wed Oct 13 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Wed Oct 13 00:00:00 CEST 2010;W;0894;C410;+00,00 M;;B;DOK-P:01\;APP-M-A-000-POOL;
000000000000204294;E-Motor 3000 allgemein;I0100;Mon Jan 18 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;C505;+00,00 M;;B;DOK-M:01\;HOE-M-A-084-P07;
000000000000204295;E-Motor 3000 allgemein;I0100;Mon Jan 18 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;C504;+00,00 M;;B;DOK-M:01\;HOE-M-A-084-P05;
000000000000204296;E-Motor 1500 allgemein;I0100;Mon Jan 18 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;C568;+00,00 M;;B;DOK-M:01\;HOE-M-A-091-P04;
000000000000204297;untere Haube mit Füßen (für Adsorber);I0100;Mon Jan 18 00:00:00 CET 2010;Tue Nov 23 00:00:00 CET 2010;M;Tue Nov 23 00:00:00 CET 2010;W;0894;C509;+15,72 M;;A;DOK-26F0101\BGI-106\;HOE-M-A-026-F01;
000000000000204297;untere Haube mit Füßen (für Adsorber);I0100;Tue Nov 23 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Tue Nov 23 00:00:00 CET 2010;W;0894;C410;+15,72 M;;A;DOK-26F0101\BGI-106\;APP-M-A-000-LAGERNDE;
000000000000204298;E-Motor 1500 allgemein;I0100;Tue Jan 19 00:00:00 CET 2010;Mon Jan 10 00:00:00 CET 2011;M;Mon Jan 10 00:00:00 CET 2011;E;0894;C502S;+00,00 M;;B;DOK-M:01\;HOE-M-A-050-P08;
000000000000204298;E-Motor 1500 allgemein;I0100;Mon Jan 10 00:00:00 CET 2011;Fri Dec 31 00:00:00 CET 9999;M;Mon Jan 10 00:00:00 CET 2011;E;0894;C410;+00,00 M;;B;DOK-M:01\;APP-M-A-000-POOL;
000000000000204300;E-Motor 1500 allgemein;I0100;Wed Jan 20 00:00:00 CET 2010;Wed Jan 20 00:00:00 CET 2010;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;;+00,00 M;;B;DOK-M:01\;;
000000000000204300;E-Motor 1500 allgemein;I0100;Wed Jan 20 00:00:00 CET 2010;Wed Jan 20 00:00:00 CET 2010;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;C410;+00,00 M;;B;DOK-M:01\;APP-M-A-000-POOL;
000000000000204300;E-Motor 1500 allgemein;I0100;Wed Jan 20 00:00:00 CET 2010;Thu Sep 09 00:00:00 CEST 2010;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;C516;1. OG;;B;DOK-M:01\;APP-M-A-000-POOL;
000000000000204300;E-Motor 1500 allgemein;I0100;Thu Sep 09 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;C516;1. OG;;B;DOK-M:01\;HOE-M-A-020-V02;
000000000000204301;Kolonne allgemein;I0100;Thu Jan 21 00:00:00 CET 2010;Tue Mar 08 00:00:00 CET 2011;M;Tue Mar 08 00:00:00 CET 2011;W;0894;C410;;;A;DOK-61K0101\BGI-173\;HOE-M-A-061-K01;
000000000000204301;Kolonne allgemein;I0100;Tue Mar 08 00:00:00 CET 2011;Fri Dec 31 00:00:00 CET 9999;M;Tue Mar 08 00:00:00 CET 2011;W;0894;C410;;;A;DOK-61K0101\BGI-173\;APP-M-A-000-LAGERNDE;
000000000000204302;Unterteil (mit Standzarge);I0100;Thu Jan 21 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;;W;0894;C410;;;A;DOK-31K0503\BGI-152\;APP-M-A-000-LAGERNDE;
000000000000204303;Unterteil (mit Standzarge);I0100;Thu Jan 21 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;;W;0894;C410;;;A;DOK-31K0503\BGI-152\;APP-M-A-000-LAGERNDE;
000000000000204304;Filter / Siebkorb;I0100;Thu Jan 21 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C507;EG;;B;DOK-25F0502;HOE-M-A-025-F05;
000000000000204305;Kreiselppe. (Magnetkupplung);I0100;Fri Jan 22 00:00:00 CET 2010;Tue Feb 16 00:00:00 CET 2010;M;Tue Feb 16 00:00:00 CET 2010;W;0894;C509;+00,00 M;;B;DOK-P:01\KOMB-285;HOE-M-A-036-P37;
000000000000204305;Kreiselppe. (Magnetkupplung);I0100;Tue Feb 16 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Tue Feb 16 00:00:00 CET 2010;W;0894;C410;+00,00 M;;B;DOK-P:01\KOMB-285;APP-M-A-000-POOL;
000000000000204314;E-Motor 3000 allgemein;I0100;Fri Feb 05 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;C502S;+00,00 M;;C;DOK-M:01\;HOE-M-A-050-P18;
000000000000204315;Kreiselppe. (Magnetkupplung);I0100;Fri Feb 05 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+00,00 M;;B;DOK-P:01\;HOE-M-A-032-P09;
000000000000204317;Membranpumpe (Antrieb mit verdicht. Gas);I0099;Thu Feb 11 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Feb 11 00:00:00 CET 2010;W;0894;;+00,00 M;;B;DOK-P:01\BGI-224\;;
000000000000204318;Membranpumpe (Antrieb mit verdicht. Gas);I0100;Thu Feb 11 00:00:00 CET 2010;Thu Feb 25 00:00:00 CET 2010;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C511;+00,00 M;;B;DOK-P:01\BGI-224\;HOE-M-A-001-P08;
000000000000204318;Membranpumpe (Antrieb mit verdicht. Gas);I0100;Thu Feb 25 00:00:00 CET 2010;Wed Mar 24 00:00:00 CET 2010;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C410;+00,00 M;;B;DOK-P:01\BGI-224\;APP-M-A-000-POOL;
000000000000204318;Membranpumpe (Antrieb mit verdicht. Gas);I0100;Wed Mar 24 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C511;+00,00 M;;B;DOK-P:01\BGI-224\;HOE-M-A-001-P08;
000000000000204319;Kreiselppe. (Magnetkupplung);I0100;Tue Feb 16 00:00:00 CET 2010;Thu Apr 29 00:00:00 CEST 2010;M;Thu Apr 29 00:00:00 CEST 2010;W;0894;C509;+00,00 M;;B;DOK-P:01\KOMB-284;HOE-M-A-036-P36;
000000000000204319;Kreiselppe. (Magnetkupplung);I0100;Thu Apr 29 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Apr 29 00:00:00 CEST 2010;W;0894;C410;+00,00 M;;B;DOK-P:01\KOMB-284;APP-M-A-000-POOL;
000000000000204320;Kreiselppe. (Magnetkupplung);I0100;Tue Feb 16 00:00:00 CET 2010;Wed May 26 00:00:00 CEST 2010;M;Wed May 26 00:00:00 CEST 2010;W;0894;C509;+00,00 M;;B;DOK-P:01\KOMB-285;HOE-M-A-036-P37;
000000000000204320;Kreiselppe. (Magnetkupplung);I0100;Wed May 26 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Wed May 26 00:00:00 CEST 2010;W;0894;C410;+00,00 M;;B;DOK-P:01\KOMB-285;APP-M-A-000-POOL;
000000000000204321;Kondensatenspanner;I0100;Tue Feb 16 00:00:00 CET 2010;Wed May 19 00:00:00 CEST 2010;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;EG;;A;DOK-36/10;HOE-M-A-036-B31;
000000000000204321;Kondensatenspanner;I0100;Wed May 19 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;EG;;A;DOK-36B3110;HOE-M-A-036-B31;
000000000000204323;Kreiselppe. (Abdichtung ?);I0100;Wed Feb 17 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C568;+00,00 M;;B;DOK-P:01\;HOE-M-A-091-P04;
000000000000204324;Haube mit mehreren Stutzen;I0100;Wed Feb 17 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;;;;A;DOK-50W5104;HOE-M-A-050-W51;
000000000000204325;Haube ohne Stutzen;I0100;Wed Feb 17 00:00:00 CET 2010;Wed Feb 17 00:00:00 CET 2010;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C502S;ÖSTLICH;;A;DOK-50W4108\BGI-142\KOMB-092;HOE-M-A-050-W51;
000000000000204325;Haube ohne Stutzen;I0100;Wed Feb 17 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C502S;ÖSTLICH;;A;DOK-50W5104;HOE-M-A-050-W51;
000000000000204326;Behälterkonus;I0100;Thu Feb 18 00:00:00 CET 2010;Thu Feb 18 00:00:00 CET 2010;M;Thu Feb 18 00:00:00 CET 2010;W;0894;C410;;;A;DOK-;APP-M-A-000-LAGERNDE;
000000000000204326;Behälterkonus;I0100;Thu Feb 18 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Feb 18 00:00:00 CET 2010;W;0894;C410;;;A;DOK-050-B0305;APP-M-A-000-LAGERNDE;
000000000000204332;Kolbenpumpe (Membran PTFE);I0100;Wed Feb 24 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+00,00 M;;B;DOK-P:01\KOMB-296;HOE-M-A-038-P07;
000000000000204333;E-Motor allgemein;I0100;Wed Feb 24 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;C509;+07,46 M;;B;DOK-M:01\;HOE-M-A-038-P07;
000000000000204334;E-Motor 3000 allgemein;I0100;Thu Feb 25 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;C516;1. OG;;B;DOK-M:01\;HOE-M-A-055-P03;
000000000000204335;Membranpumpe;I0100;Thu Feb 25 00:00:00 CET 2010;Wed Mar 24 00:00:00 CET 2010;M;Wed Mar 24 00:00:00 CET 2010;W;0894;C511;+00,00 M;;B;DOK-P:01\BGI-224\;HOE-M-A-001-P08;
000000000000204335;Membranpumpe;I0100;Wed Mar 24 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Wed Mar 24 00:00:00 CET 2010;W;0894;C410;+00,00 M;;B;DOK-P:01\BGI-224\;APP-M-A-000-POOL;
000000000000204336;Kreiselpumpe DIN 24256;I0100;Thu Feb 25 00:00:00 CET 2010;Thu Feb 25 00:00:00 CET 2010;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C432;+00,00 M;;B;DOK-P:01\;HOE-M-A-055-P05;
000000000000204336;Kreiselpumpe DIN 24256;I0100;Thu Feb 25 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C432;+00,00 M;;B;DOK-P:01\;HOE-M-A-055-P03;
000000000000204338;Kreiselppe./ Gliedergeh.(Spaltrohrmotor);I0100;Mon Mar 08 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C502N;+06,00 M;;B;DOK-P:01\KOMB-006;HOE-M-A-030-P04;
000000000000204340;Kreiselppe. (Gleitring);I0100;Mon Mar 08 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C507;+00,00 M;;B;DOK-P:01\;HOE-M-A-011-P01;
000000000000204341;E-Motor 3000 allgemein;I0100;Wed Mar 10 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;C509;+10,22 M;;B;DOK-M:01\;HOE-M-A-026-V01;
000000000000204703;Kreiselppe. (Magnetkuppl.) Blockbauweise;I0100;Wed Mar 24 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C537;+00,00 M;;B;DOK-P:01\KOMB-176;HOE-M-A-080-P05;
000000000000204704;E-Motor 1500 allgemein;I0100;Wed Mar 24 00:00:00 CET 2010;Mon Jan 10 00:00:00 CET 2011;M;Mon Jan 10 00:00:00 CET 2011;E;0894;C502S;+00,00 M;;B;DOK-M:01\;HOE-M-A-050-P08;
000000000000204704;E-Motor 1500 allgemein;I0100;Mon Jan 10 00:00:00 CET 2011;Fri Dec 31 00:00:00 CET 9999;M;Mon Jan 10 00:00:00 CET 2011;E;0894;C410;+00,00 M;;B;DOK-M:01\;APP-M-A-000-POOL;
000000000000204705;E-Motor 3000 allgemein;I0100;Wed Mar 24 00:00:00 CET 2010;Thu Apr 29 00:00:00 CEST 2010;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;C566;-02,79 M;;B;DOK-M:01\;HOE-M-A-084-P19;
000000000000204705;E-Motor 3000 allgemein;I0100;Thu Apr 29 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;C566;-02,79 M;;B;DOK-M:01\;HOE-M-A-084-P18;
000000000000204706;E-Motor 3000 (mit Blockflansch);I0100;Thu Mar 25 00:00:00 CET 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;C537;+00,00 M;;B;DOK-M:01\KOMB-176;HOE-M-A-080-P05;
000000000000204715;Oberteil  allgemein (für Kolonne);I0100;Fri Apr 16 00:00:00 CEST 2010;Wed Jun 23 00:00:00 CEST 2010;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C410;+00,00 M;;A;DOK-32K0503\BGI-152\;APP-M-A-000-LAGERNDE;
000000000000204715;Oberteil  allgemein (für Kolonne);I0100;Wed Jun 23 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+00,00 M;;A;DOK-32K0503\BGI-152\;HOE-M-A-031-K05;
000000000000204716;Kreiselppe. (Magnetkupplung);I0100;Mon Apr 26 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C502S;+00,40 M;;B;DOK-P:01\KOMB-263;HOE-M-A-005-P02;
000000000000204717;Kreiselppe. (Magnetkupplung);I0100;Mon Apr 26 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C502S;EG-NOT;;B;DOK-P:01\;HOE-M-A-005-P03;
000000000000204718;Drosselscheibe;I0100;Mon Apr 26 00:00:00 CEST 2010;Mon Apr 26 00:00:00 CEST 2010;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C538;+0,00 M;;B;AKZ 10/01;HOE-M-A-082-P08;
000000000000204718;Drosselscheibe;I0100;Mon Apr 26 00:00:00 CEST 2010;Mon Apr 26 00:00:00 CEST 2010;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+7,56 M;;B;AKZ 10/01;HOE-M-A-082-P08;
000000000000204718;Drosselscheibe;I0100;Mon Apr 26 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+7,56 M;;B;AKZ 10/01;HOE-M-A-010;
000000000000204719;Drosselscheibe;I0100;Mon Apr 26 00:00:00 CEST 2010;Mon Apr 26 00:00:00 CEST 2010;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+7,56 M;;C;;HOE-M-A-010;
000000000000204719;Drosselscheibe;I0100;Mon Apr 26 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+7,56 M;;C;AKZ 10/01;HOE-M-A-010;
000000000000204726;Drosselscheibe;I0100;Tue Apr 27 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C538;0,00 M;;C;AKZ 81/04;HOE-M-A-081-P01;
000000000000204727;Kreiselppe. (Magnetkupplung);I0100;Thu Apr 29 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+00,00 M;;B;DOK-P:01\KOMB-284;HOE-M-A-003-P03;
000000000000204746;Kreiselppe. (Magnetkupplung);I0100;Wed May 26 00:00:00 CEST 2010;Thu Jul 01 00:00:00 CEST 2010;M;Thu Jul 01 00:00:00 CEST 2010;W;0894;C509;+00,00 M;;B;DOK-P:01\KOMB-285;HOE-M-A-036-P37;
000000000000204746;Kreiselppe. (Magnetkupplung);I0100;Thu Jul 01 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Jul 01 00:00:00 CEST 2010;W;0894;C410;+00,00 M;;B;DOK-P:01\KOMB-285;APP-M-A-000-POOL;
000000000000204774;Drosselscheibe;I0100;Tue Jun 22 00:00:00 CEST 2010;Tue Jun 22 00:00:00 CEST 2010;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;STE8;+0,00 M;;C;;HOE-M-A-050-W39;
000000000000204774;Drosselscheibe;I0100;Tue Jun 22 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;STE8;+0,00 M;;C;AKZ 92/01;HOE-M-A-050-W39;
000000000000204775;Sicherheitsventil;I0100;Tue Jun 22 00:00:00 CEST 2010;Tue Jun 22 00:00:00 CEST 2010;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+5,00M;;A;;HOE-M-A-036-B03;
000000000000204775;Sicherheitsventil;I0100;Tue Jun 22 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+5,00M;;A;36/01;HOE-M-A-036-B03;
000000000000204776;Sicherheitsventil;I0100;Tue Jun 22 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+05,00 M;;A;36/01;HOE-M-A-036-B04;
000000000000204777;Sicherheitsventil;I0100;Tue Jun 22 00:00:00 CEST 2010;Tue Jun 22 00:00:00 CEST 2010;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+05,00 M;;A;;HOE-M-A-036-B04;
000000000000204777;Sicherheitsventil;I0100;Tue Jun 22 00:00:00 CEST 2010;Fri Dec 31 00:00:00 CET 9999;M;Thu Mar 31 00:00:00 CEST 2011;W;0894;C509;+05,00 M;;A;36/01;HOE-M-A-036-B04;
000000000000204778;E-Motor 3000 allgemein;I0100;Wed Jun 23 00:00:00 CEST 2010;Thu Oct 07 00:00:00 CEST 2010;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;C516;1. OG;;B;DOK-M:01\;APP-M-A-000-POOL;
000000000000204778;E-Motor 3000 allgemein;I0100;Thu Oct 07 00:00:00 CEST 2010;Thu Oct 07 00:00:00 CEST 2010;M;Thu Mar 31 00:00:00 CEST 2011;E;0894;C516;1. OG;;B;DOK-M:01\;HOE-M-A-033-P12;
